news_urls,site_names,bias
https://www.10news.com,10news.com,Political News Media Bias Rating: Not Rated
https://abc7.com/,abc7.com,Political News Media Bias Rating: Not Rated
http://abcnews.go.com/,abcnews.go.com,AllSides Media Bias Rating: Lean Left
https://abc13.com/,abc13.com,Political News Media Bias Rating: Not Rated
https://www.reporternews.com/,reporternews.com,Political News Media Bias Rating: Not Rated
usconservatives.about.com,usconservatives.about.com,Political News Media Bias Rating: Not Rated
https://abovethelaw.com/,abovethelaw.com,AllSides Media Bias Rating: Lean Left
https://abridgenews.com,abridgenews.com,AllSides Media Bias Rating: Mixed
http://www.mondotimes.com/include/click?id=3021,mondotimes.com,Political News Media Bias Rating: Not Rated
https://atoday.org/,atoday.org,AllSides Media Bias Rating: Lean Left
https://www.advocate.com/,advocate.com,AllSides Media Bias Rating: Lean Left
https://aframnews.com/,aframnews.com,AllSides Media Bias Rating: Left
http://africanamericanconservatives.com/,africanamericanconservatives.com,AllSides Media Bias Rating: Right
https://afro.com/,afro.com,AllSides Media Bias Rating: Left
http://www.agjournalonline.com/,agjournalonline.com,Political News Media Bias Rating: Not Rated
https://www.ajplus.net/,ajplus.net,AllSides Media Bias Rating: Left
http://www.akronnewsreporter.com/,akronnewsreporter.com,Political News Media Bias Rating: Not Rated
https://www.aljazeera.com/,aljazeera.com,AllSides Media Bias Rating: Lean Left
http://www.al.com,al.com,Political News Media Bias Rating: Not Rated
http://www.albanyherald.com/,albanyherald.com,Political News Media Bias Rating: Not Rated
https://www.albertleatribune.com/,albertleatribune.com,AllSides Media Bias Rating: Center
http://www.albionpleiad.com/,albionpleiad.com,Political News Media Bias Rating: Not Rated
https://www.abqjournal.com/,abqjournal.com,AllSides Media Bias Rating: Center
http://www.mondotimes.com/include/click?id=22487,mondotimes.com,Political News Media Bias Rating: Not Rated
http://www.allegannews.com/,allegannews.com,Political News Media Bias Rating: Not Rated
http://alconareview.com/,alconareview.com,Political News Media Bias Rating: Not Rated
https://starlocalmedia.com/allenamerican/,starlocalmedia.com,Political News Media Bias Rating: Not Rated
http://www.allsides.com,allsides.com,AllSides Media Bias Rating: Mixed
http://www.mondotimes.com/include/click?id=3025,mondotimes.com,Political News Media Bias Rating: Not Rated
https://www.thealpenanews.com/,thealpenanews.com,Political News Media Bias Rating: Not Rated
https://alphanews.org/,alphanews.org,AllSides Media Bias Rating: Right
http://www.alternet.org/,alternet.org,AllSides Media Bias Rating: Left
https://www.americas1stfreedom.org/,americas1stfreedom.org,AllSides Media Bias Rating: Lean Right
https://amgreatness.com/,amgreatness.com,AllSides Media Bias Rating: Right
http://www.americanpress.com/,americanpress.com,Political News Media Bias Rating: Not Rated
http://www.americanthinker.com/,americanthinker.com,AllSides Media Bias Rating: Right
http://www.americustimesrecorder.com/,americustimesrecorder.com,Political News Media Bias Rating: Not Rated
http://www.americustimesrecorder.com/,americustimesrecorder.com,Political News Media Bias Rating: Not Rated
http://amestrib.com/,amestrib.com,Political News Media Bias Rating: Not Rated
https://www.adn.com/,adn.com,AllSides Media Bias Rating: Center
http://www.myandrewsjournal.com/,myandrewsjournal.com,Political News Media Bias Rating: Not Rated
http://heritage.com/ann_arbor_journal/,heritage.com,Political News Media Bias Rating: Not Rated
http://www.aquinas.edu/thesaint/,aquinas.edu,AllSides Media Bias Rating: Left
http://www.arabamericannews.com/news/,arabamericannews.com,Political News Media Bias Rating: Not Rated
http://www.arabamericannews.com/news/,arabamericannews.com,Political News Media Bias Rating: Not Rated
https://www.arcdigital.media/,arcdigital.media,AllSides Media Bias Rating: Center
http://www.arenacindependent.com/,arenacindependent.com,Political News Media Bias Rating: Not Rated
http://arenacindependent.com/,arenacindependent.com,Political News Media Bias Rating: Not Rated
http://www.argusobserver.com/,argusobserver.com,Political News Media Bias Rating: Not Rated
https://azdailysun.com/,azdailysun.com,Political News Media Bias Rating: Not Rated
https://www.azmirror.com/,azmirror.com,AllSides Media Bias Rating: Center
http://www.arkansasonline.com/,arkansasonline.com,AllSides Media Bias Rating: Left
https://arstechnica.com/,arstechnica.com,AllSides Media Bias Rating: Center
http://www.citizen-times.com/,citizen-times.com,Political News Media Bias Rating: Not Rated
http://www.apg-wi.com/ashland_daily_press/,apg-wi.com,Political News Media Bias Rating: Not Rated
http://www.aspendailynews.com/,aspendailynews.com,Political News Media Bias Rating: Not Rated
http://www.aspentimes.com/,aspentimes.com,Political News Media Bias Rating: Not Rated
https://apnews.com/,apnews.com,AllSides Media Bias Rating: Lean Left
https://apnews.com/hub/ap-fact-check,apnews.com,AllSides Media Bias Rating: Lean Left
http://associationsnow.com/,associationsnow.com,Political News Media Bias Rating: Not Rated
http://onlineathens.com/,onlineathens.com,Political News Media Bias Rating: Not Rated
http://onlineathens.com/,onlineathens.com,Political News Media Bias Rating: Not Rated
https://atlantablackstar.com/,atlantablackstar.com,AllSides Media Bias Rating: Lean Left
http://atlantadailyworld.com/,atlantadailyworld.com,Political News Media Bias Rating: Not Rated
http://www.ajc.com/,ajc.com,AllSides Media Bias Rating: Lean Left
http://www.swiowanewssource.com/atlantic/,swiowanewssource.com,Political News Media Bias Rating: Not Rated
https://attitude.co.uk/,attitude.co.uk,AllSides Media Bias Rating: Lean Left
http://chronicle.augusta.com/,chronicle.augusta.com,Political News Media Bias Rating: Not Rated
http://www.aurorasentinel.com/,aurorasentinel.com,Political News Media Bias Rating: Not Rated
http://www.mystatesman.com/,mystatesman.com,AllSides Media Bias Rating: Lean Left
